event,timestamp,sweep,gpu,point_index,num_uav,num_gu,map_size_m,uav_density_per_km2,method_id,paper_label,method_family,training_seed,checkpoint_role,eval_seed_base,episodes,num_envs,config_path,checkpoint_path,baseline_policy,out_dir,label,rc,elapsed_sec,reward_sum,processed_ratio_eval,drop_ratio_eval,pre_backlog_steps_eval,D_sys_report,queue_total_mean,collision_episode_fraction,near_collision_ratio,near_collision_steps,terminated_early,sat_overlap_eval,episode_length,arrival_step_mean,outflow_arrival_ratio,error
start,2026-07-15T02:53:19+08:00,uav_density,1,1,5,20,1500.0,2.2222222222222223,relcritic,STARS,learned,73129,selected,982000,64,64,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/configs/5uav20gu/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed73129_20260711_213639_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/results/5uav20gu/learned/relcritic/seed73129/selected/seedbase982000,uav_density_5uav_relcritic_seed73129_selected_seedbase982000,,,,,,,,,,,,,,,,,
end,2026-07-15T02:53:26+08:00,uav_density,1,1,5,20,1500.0,2.2222222222222223,relcritic,STARS,learned,73129,selected,982000,64,64,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/configs/5uav20gu/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed73129_20260711_213639_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/results/5uav20gu/learned/relcritic/seed73129/selected/seedbase982000,uav_density_5uav_relcritic_seed73129_selected_seedbase982000,0,6.796,41.24951058009174,0.8443369678568349,0.11998453039171052,4.7400187816596855,6.9038244756220735,189600749.01283577,0.5625,,,0.5625,0.532987660052943,185.75,40000094.19954145,0.8469569943256586,
start,2026-07-15T02:53:26+08:00,uav_density,1,1,5,20,1500.0,2.2222222222222223,relcritic,STARS,learned,91457,selected,980000,64,64,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/configs/5uav20gu/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed91457_20260712_124615_resume_u0400_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/results/5uav20gu/learned/relcritic/seed91457/selected/seedbase980000,uav_density_5uav_relcritic_seed91457_selected_seedbase980000,,,,,,,,,,,,,,,,,
end,2026-07-15T02:53:32+08:00,uav_density,1,1,5,20,1500.0,2.2222222222222223,relcritic,STARS,learned,91457,selected,980000,64,64,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/configs/5uav20gu/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed91457_20260712_124615_resume_u0400_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/results/5uav20gu/learned/relcritic/seed91457/selected/seedbase980000,uav_density_5uav_relcritic_seed91457_selected_seedbase980000,0,6.823,43.72189734992571,0.8415745434349863,0.08681437168164693,5.8521713660485375,8.798635525640417,234086851.8908774,0.390625,,,0.390625,0.6567073793255517,197.5625,40000071.421668574,0.8523441203125406,
start,2026-07-15T02:53:32+08:00,uav_density,1,1,5,20,1500.0,2.2222222222222223,relcritic,STARS,learned,91457,selected,981000,64,64,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/configs/5uav20gu/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed91457_20260712_124615_resume_u0400_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/results/5uav20gu/learned/relcritic/seed91457/selected/seedbase981000,uav_density_5uav_relcritic_seed91457_selected_seedbase981000,,,,,,,,,,,,,,,,,
end,2026-07-15T02:53:39+08:00,uav_density,1,1,5,20,1500.0,2.2222222222222223,relcritic,STARS,learned,91457,selected,981000,64,64,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/configs/5uav20gu/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed91457_20260712_124615_resume_u0400_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/results/5uav20gu/learned/relcritic/seed91457/selected/seedbase981000,uav_density_5uav_relcritic_seed91457_selected_seedbase981000,0,6.833,40.5973192891106,0.8565840439789318,0.08064241417876013,5.0667013247089505,7.025042917310513,202668050.52288136,0.46875,,,0.46875,0.6421808777492446,189.84375,40000036.593500696,0.8651288182765647,
start,2026-07-15T02:53:39+08:00,uav_density,1,1,5,20,1500.0,2.2222222222222223,relcritic,STARS,learned,91457,selected,982000,64,64,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/configs/5uav20gu/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed91457_20260712_124615_resume_u0400_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/results/5uav20gu/learned/relcritic/seed91457/selected/seedbase982000,uav_density_5uav_relcritic_seed91457_selected_seedbase982000,,,,,,,,,,,,,,,,,
end,2026-07-15T02:53:47+08:00,uav_density,1,1,5,20,1500.0,2.2222222222222223,relcritic,STARS,learned,91457,selected,982000,64,64,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/configs/5uav20gu/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed91457_20260712_124615_resume_u0400_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/results/5uav20gu/learned/relcritic/seed91457/selected/seedbase982000,uav_density_5uav_relcritic_seed91457_selected_seedbase982000,-11,7.854,,,,,,,,,,,,,,,"uav_density_5uav_relcritic_seed91457_selected_seedbase982000: reward=43.4954 processed=0.8442 drop=0.1061 pre_backlog=5.7015 sat_overlap=0.6444 collision=0.4844
replaced={} out_dir=/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/results/5uav20gu/learned/relcritic/seed91457/selected/seedbase982000
"
skip_existing,2026-07-15T02:56:27+08:00,uav_density,1,1,5,20,1500.0,2.2222222222222223,relcritic,STARS,learned,45211,selected,980000,64,64,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/configs/5uav20gu/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed45211_20260711_213639_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/results/5uav20gu/learned/relcritic/seed45211/selected/seedbase980000,uav_density_5uav_relcritic_seed45211_selected_seedbase980000,0,0,52.08318371628411,0.8648553410758142,0.1041021148598761,5.095531505921552,7.4892698580820305,203821257.74960965,0.28125,,,0.265625,0.5005497660122067,225.546875,40000090.749852546,0.8669120187643732,
skip_existing,2026-07-15T02:56:27+08:00,uav_density,1,1,5,20,1500.0,2.2222222222222223,relcritic,STARS,learned,45211,selected,981000,64,64,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/configs/5uav20gu/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed45211_20260711_213639_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/results/5uav20gu/learned/relcritic/seed45211/selected/seedbase981000,uav_density_5uav_relcritic_seed45211_selected_seedbase981000,0,0,51.44835456623696,0.8436527406751568,0.10999832671425451,4.807634856388688,6.963667900396859,192305391.86720866,0.25,,,0.25,0.514883138460828,223.546875,39999984.50848496,0.848510061853155,
skip_existing,2026-07-15T02:56:27+08:00,uav_density,1,1,5,20,1500.0,2.2222222222222223,relcritic,STARS,learned,45211,selected,982000,64,64,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/configs/5uav20gu/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed45211_20260711_213639_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/results/5uav20gu/learned/relcritic/seed45211/selected/seedbase982000,uav_density_5uav_relcritic_seed45211_selected_seedbase982000,0,0,51.10472182719968,0.8478875266661712,0.11600153882973212,5.202642254682456,7.557719513745028,208105687.5612551,0.3125,,,0.3125,0.49561596390032553,224.28125,40000056.47624815,0.8494782483023687,
skip_existing,2026-07-15T02:56:27+08:00,uav_density,1,1,5,20,1500.0,2.2222222222222223,relcritic,STARS,learned,73129,selected,980000,64,64,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/configs/5uav20gu/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed73129_20260711_213639_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/results/5uav20gu/learned/relcritic/seed73129/selected/seedbase980000,uav_density_5uav_relcritic_seed73129_selected_seedbase980000,0,0,39.12810099637136,0.8441063885556886,0.10364071135234408,4.96406513730284,7.1480752096612425,198562603.14410403,0.59375,,,0.59375,0.531442155193023,173.859375,39999953.27494661,0.8457408931941816,
skip_existing,2026-07-15T02:56:27+08:00,uav_density,1,1,5,20,1500.0,2.2222222222222223,relcritic,STARS,learned,73129,selected,981000,64,64,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/configs/5uav20gu/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed73129_20260711_213639_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/results/5uav20gu/learned/relcritic/seed73129/selected/seedbase981000,uav_density_5uav_relcritic_seed73129_selected_seedbase981000,0,0,37.932604217203334,0.8528371883269432,0.09572408661489931,4.33910738651916,5.98812509803662,173564293.3060088,0.578125,,,0.578125,0.5373514335135795,175.375,40000168.289089,0.8551555799280409,
skip_existing,2026-07-15T02:56:27+08:00,uav_density,1,1,5,20,1500.0,2.2222222222222223,relcritic,STARS,learned,73129,selected,982000,64,64,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/configs/5uav20gu/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed73129_20260711_213639_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/results/5uav20gu/learned/relcritic/seed73129/selected/seedbase982000,uav_density_5uav_relcritic_seed73129_selected_seedbase982000,0,0,41.24951058009174,0.8443369678568349,0.11998453039171052,4.7400187816596855,6.9038244756220735,189600749.01283577,0.5625,,,0.5625,0.532987660052943,185.75,40000094.19954145,0.8469569943256586,
skip_existing,2026-07-15T02:56:27+08:00,uav_density,1,1,5,20,1500.0,2.2222222222222223,relcritic,STARS,learned,91457,selected,980000,64,64,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/configs/5uav20gu/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed91457_20260712_124615_resume_u0400_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/results/5uav20gu/learned/relcritic/seed91457/selected/seedbase980000,uav_density_5uav_relcritic_seed91457_selected_seedbase980000,0,0,43.72189734992571,0.8415745434349863,0.08681437168164693,5.8521713660485375,8.798635525640417,234086851.8908774,0.390625,,,0.390625,0.6567073793255517,197.5625,40000071.421668574,0.8523441203125406,
skip_existing,2026-07-15T02:56:27+08:00,uav_density,1,1,5,20,1500.0,2.2222222222222223,relcritic,STARS,learned,91457,selected,981000,64,64,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/configs/5uav20gu/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed91457_20260712_124615_resume_u0400_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/results/5uav20gu/learned/relcritic/seed91457/selected/seedbase981000,uav_density_5uav_relcritic_seed91457_selected_seedbase981000,0,0,40.5973192891106,0.8565840439789318,0.08064241417876013,5.0667013247089505,7.025042917310513,202668050.52288136,0.46875,,,0.46875,0.6421808777492446,189.84375,40000036.593500696,0.8651288182765647,
skip_existing,2026-07-15T02:56:27+08:00,uav_density,1,1,5,20,1500.0,2.2222222222222223,relcritic,STARS,learned,91457,selected,982000,64,64,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/configs/5uav20gu/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed91457_20260712_124615_resume_u0400_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/uav_density_collision_smoke_20260715/results/5uav20gu/learned/relcritic/seed91457/selected/seedbase982000,uav_density_5uav_relcritic_seed91457_selected_seedbase982000,0,0,43.49535878491588,0.8441563435133482,0.10607483313837598,5.7015056374788955,8.50513152804337,228060222.47234482,0.484375,,,0.484375,0.6444084212195788,203.015625,40000101.017315514,0.8536481535117254,
